pseudoid,weightNet,vacuumed,quantum,quantumUnit,geometry,height,density,massInJar,massInJarTare,massInJarGross,dryWeightNet,dryWeightPercent,totalVaporizationAmount,totalVaporizationVolume,ashWeightNet,amountToAshing,ashConcentration,SrCarrierConcentration,SrCarrierVolume,sievedOrganicWeight,sievedRocksWeight,sievedDryWeight
71362,,0,1,m^2,g-3,1,0.38,0.521,11.2421,11.7633,,,63250,,,,,1,2.5,,,
74081,,0,,,,,,,,,,,,,,,,,,,,
67610,39.14,0,,,,,,,,,5.280000000000001,13.49,,,,,,,,,,
65686,30.59,0,,,,,,,,,4.250000000000001,13.89,,,,,,,,,,
75886,34.23,1,0.00351,kg_kp,g-3,26,0.1,3.51,11.69,15.2,4.3100000000000005,12.59,,,,,,,,,,
70808,42.21,1,0.00903,kg_kp,g-3,26,0.25,9.03,10.98,20.01,10.489999999999998,24.85,,,,,,,,,,
76159,39.72,0,,,,,,,,,24.6,61.93,,,,,,,,,,
57040,68.64,0,,,,,,,,,50.09,72.97,,,,,,,,,,
68264,57.85,1,0.04351,kg_kp,g-3,26,1.21,43.51,11.01,54.52,43.910000000000004,75.92,,,,,,,,,,
58607,83.96,1,0.04835,kg_kp,g-3,26,1.34,48.35,11.14,59.49,35.589999999999996,42.39,,,,,,,,,,
69015,58.68,1,0.04803,kg_kp,g-3,26,1.33,48.03,11.14,59.17,48.5,82.65,,,,,,,,,,
57597,52.19,0,,,,,,,,,41.48,79.48,,,,,,,,,,
61897,73.74,0,,,,,,,,,58.93,79.92,,,,,,,,,,
55737,68.69,0,,,,,,,,,50.22,73.11,,,,,,,,,,
73787,50.55,0,,,,,,,,,40.32,79.76,,,,,,,,,,
59555,61.26,0,,,,,,,,,49.2,80.31,,,,,,,,,,
57072,67.46,0,,,,,,,,,53,78.57,,,,,,,,,,
56768,63.69,1,0.04891,kg_kp,g-3,26,1.36,48.91,11.13,60.04,49.76,78.13,,,,,,,,,,
62720,65.74,0,,,,,,,,,52.45,79.78,,,,,,,,,,
62437,61.18,0,,,,,,,,,48.31,78.96,,,,,,,,,,
73922,64.99,0,,,,,,,,,52.07,80.12,,,,,,,,,,
70993,59.12,0,,,,,,,,,45.24,76.52,,,,,,,,,,
52205,125.45,1,0.04794,kg_kp,g-3,26,1.33,47.94,11,58.94,95.85000000000001,76.4,,,,,,,,,,
59835,138.73,1,0.04517,kg_kp,g-3,26,1.25,45.17,11.02,56.19,105.27,75.88,,,,,,,,,,
